Aveiro|Águeda|Valongo do Vouga|PS|31,96%|861|PPD/PSD.CDS-PP.PPM|30,18%|813|CH|20,56%|554|IL|4,31%|116|B.E.|2,49%|67|PCP-PEV|1,78%|48|ADN|1,60%|43|PAN|1,34%|36|L|1,30%|35|R.I.R.|0,33%|9|PCTP/MRPP|0,30%|8|ND|0,22%|6|E|0,04%|1|MPT.A|0,04%|1|VP|0,00%|0|EMBRANCO|2,41%|65|NULOS|1,15%|31
Aveiro|Albergaria-a-Velha|Albergaria-a-Velha e Valmaior|PPD/PSD.CDS-PP.PPM|37,41%|2.318|PS|21,83%|1.353|CH|21,40%|1.326|IL|4,84%|300|B.E.|3,49%|216|L|2,16%|134|PAN|1,87%|116|ADN|1,76%|109|PCP-PEV|1,13%|70|R.I.R.|0,55%|34|PCTP/MRPP|0,24%|15|VP|0,21%|13|ND|0,19%|12|MPT.A|0,03%|2|E|0,02%|1|EMBRANCO|1,68%|104|NULOS|1,19%|74
Aveiro|Albergaria-a-Velha|Alquerubim|PPD/PSD.CDS-PP.PPM|35,27%|468|PS|28,49%|378|CH|20,42%|271|IL|3,01%|40|B.E.|2,94%|39|ADN|1,96%|26|L|1,36%|18|PAN|0,98%|13|R.I.R.|0,68%|9|PCP-PEV|0,53%|7|PCTP/MRPP|0,30%|4|MPT.A|0,15%|2|ND|0,15%|2|VP|0,15%|2|E|0,08%|1|EMBRANCO|2,11%|28|NULOS|1,43%|19
Aveiro|Albergaria-a-Velha|Angeja|PS|30,44%|358|PPD/PSD.CDS-PP.PPM|29,42%|346|CH|21,77%|256|IL|3,66%|43|B.E.|3,23%|38|ADN|1,96%|23|L|1,87%|22|PCP-PEV|1,36%|16|PAN|1,28%|15|PCTP/MRPP|0,85%|10|R.I.R.|0,60%|7|ND|0,09%|1|E|0,00%|0|MPT.A|0,00%|0|VP|0,00%|0|EMBRANCO|1,96%|23|NULOS|1,53%|18
Aveiro|Albergaria-a-Velha|Branca|PPD/PSD.CDS-PP.PPM|39,67%|1.284|CH|21,81%|706|PS|21,56%|698|IL|3,89%|126|B.E.|2,50%|81|ADN|2,19%|71|L|2,01%|65|PAN|1,42%|46|PCP-PEV|1,02%|33|PCTP/MRPP|0,37%|12|R.I.R.|0,28%|9|ND|0,25%|8|E|0,19%|6|VP|0,09%|3|MPT.A|0,06%|2|EMBRANCO|1,67%|54|NULOS|1,02%|33
Aveiro|Albergaria-a-Velha|Ribeira de Fráguas|PPD/PSD.CDS-PP.PPM|44,05%|422|PS|23,38%|224|CH|18,16%|174|B.E.|3,13%|30|IL|2,30%|22|L|2,09%|20|ADN|1,46%|14|PAN|1,04%|10|PCP-PEV|0,73%|7|R.I.R.|0,73%|7|MPT.A|0,21%|2|ND|0,10%|1|E|0,00%|0|PCTP/MRPP|0,00%|0|VP|0,00%|0|EMBRANCO|1,98%|19|NULOS|0,63%|6
Aveiro|Albergaria-a-Velha|São João de Loure e Frossos|PPD/PSD.CDS-PP.PPM|35,69%|595|PS|24,18%|403|CH|23,04%|384|IL|3,84%|64|B.E.|3,66%|61|ADN|1,86%|31|L|1,74%|29|PAN|1,32%|22|PCP-PEV|0,96%|16|R.I.R.|0,66%|11|ND|0,12%|2|VP|0,12%|2|PCTP/MRPP|0,06%|1|E|0,00%|0|MPT.A|0,00%|0|EMBRANCO|1,26%|21|NULOS|1,50%|25
Aveiro|Anadia|Amoreira da Gândara, Paredes do Bairro e Ancas|PPD/PSD.CDS-PP.PPM|44,97%|706|CH|20,70%|325|PS|19,11%|300|IL|3,50%|55|B.E.|2,55%|40|ADN|2,04%|32|L|1,46%|23|PAN|1,08%|17|PCP-PEV|0,83%|13|R.I.R.|0,51%|8|ND|0,45%|7|VP|0,13%|2|E|0,00%|0|MPT.A|0,00%|0|PCTP/MRPP|0,00%|0|EMBRANCO|1,66%|26|NULOS|1,02%|16
Aveiro|Anadia|Arcos e Mogofores|PPD/PSD.CDS-PP.PPM|36,74%|1.308|PS|25,08%|893|CH|16,21%|577|IL|5,76%|205|B.E.|3,85%|137|L|2,75%|98|PAN|2,13%|76|PCP-PEV|2,05%|73|ADN|1,24%|44|R.I.R.|0,37%|13|ND|0,34%|12|PCTP/MRPP|0,34%|12|VP|0,11%|4|E|0,08%|3|MPT.A|0,06%|2|EMBRANCO|2,22%|79|NULOS|0,67%|24
Aveiro|Anadia|Avelãs de Caminho|PCTP/MRPP|0,16%|1|R.I.R.|0,16%|1|EMBRANCO|1,86%|12|NULOS|0,62%|4
Aveiro|Anadia|Avelãs de Cima|PPD/PSD.CDS-PP.PPM|50,74%|584|CH|18,16%|209|PS|16,42%|189|IL|3,91%|45|ADN|1,91%|22|B.E.|1,39%|16|L|1,13%|13|PAN|0,70%|8|R.I.R.|0,70%|8|ND|0,61%|7|PCP-PEV|0,61%|7|PCTP/MRPP|0,26%|3|VP|0,26%|3|E|0,17%|2|MPT.A|0,09%|1|EMBRANCO|2,43%|28|NULOS|0,52%|6
Aveiro|Anadia|Moita|PPD/PSD.CDS-PP.PPM|42,68%|577|PS|22,93%|310|CH|15,38%|208|IL|4,29%|58|B.E.|3,77%|51|PAN|1,92%|26|L|1,70%|23|ADN|1,55%|21|PCP-PEV|1,55%|21|R.I.R.|0,67%|9|PCTP/MRPP|0,37%|5|ND|0,15%|2|VP|0,07%|1|E|0,00%|0|MPT.A|0,00%|0|EMBRANCO|2,37%|32|NULOS|0,59%|8
Aveiro|Anadia|Sangalhos|PPD/PSD.CDS-PP.PPM|36,23%|797|PS|21,91%|482|CH|21,23%|467|B.E.|4,73%|104|IL|4,41%|97|PCP-PEV|1,86%|41|L|1,73%|38|PAN|1,41%|31|ADN|1,23%|27|R.I.R.|0,64%|14|ND|0,32%|7|PCTP/MRPP|0,27%|6|E|0,09%|2|VP|0,09%|2|MPT.A|0,00%|0|EMBRANCO|2,41%|53|NULOS|1,45%|32
Aveiro|Anadia|São Lourenço do Bairro|PPD/PSD.CDS-PP.PPM|41,10%|559|PS|22,50%|306|CH|16,69%|227|IL|4,71%|64|B.E.|3,31%|45|ADN|1,91%|26|PAN|1,69%|23|L|1,40%|19|PCP-PEV|0,81%|11|R.I.R.|0,51%|7|VP|0,44%|6|E|0,15%|2|ND|0,15%|2|PCTP/MRPP|0,07%|1|MPT.A|0,00%|0|EMBRANCO|3,01%|41|NULOS|1,54%|21
Aveiro|Anadia|Tamengos, Aguim e Óis do Bairro|PPD/PSD.CDS-PP.PPM|39,09%|731|PS|27,11%|507|CH|14,28%|267|IL|4,33%|81|B.E.|3,21%|60|L|2,57%|48|PAN|1,82%|34|ADN|1,76%|33|PCP-PEV|0,70%|13|ND|0,59%|11|R.I.R.|0,32%|6|MPT.A|0,21%|4|PCTP/MRPP|0,21%|4|VP|0,16%|3|E|0,05%|1|EMBRANCO|2,73%|51|NULOS|0,86%|16
Aveiro|Anadia|Vila Nova de Monsarros|PPD/PSD.CDS-PP.PPM|35,05%|306|PS|30,81%|269|CH|16,61%|145|IL|4,93%|43|B.E.|2,29%|20|ADN|1,95%|17|PCP-PEV|1,26%|11|L|1,15%|10|PAN|0,92%|8|R.I.R.|0,57%|5|PCTP/MRPP|0,46%|4|ND|0,34%|3|VP|0,23%|2|E|0,00%|0|MPT.A|0,00%|0|EMBRANCO|2,29%|20|NULOS|1,15%|10
Aveiro|Anadia|Vilarinho do Bairro|PPD/PSD.CDS-PP.PPM|52,14%|803|CH|19,87%|306|PS|15,00%|231|IL|3,05%|47|ADN|2,08%|32|B.E.|1,62%|25|L|1,17%|18|PAN|0,84%|13|PCP-PEV|0,65%|10|R.I.R.|0,45%|7|ND|0,26%|4|PCTP/MRPP|0,26%|4|E|0,00%|0|MPT.A|0,00%|0|VP|0,00%|0|EMBRANCO|1,49%|23|NULOS|1,10%|17
Aveiro|Arouca|Alvarenga|PPD/PSD.CDS-PP.PPM|47,32%|282|PS|27,01%|161|CH|14,09%|84|ADN|2,01%|12|IL|1,85%|11|B.E.|1,68%|10|ND|1,01%|6|PCP-PEV|1,01%|6|PAN|0,84%|5|L|0,67%|4|PCTP/MRPP|0,34%|2|R.I.R.|0,17%|1|E|0,00%|0|MPT.A|0,00%|0|VP|0,00%|0|EMBRANCO|1,17%|7|NULOS|0,84%|5
Aveiro|Arouca|Arouca e Burgo|PPD/PSD.CDS-PP.PPM|41,51%|1.290|PS|27,90%|867|CH|13,96%|434|IL|3,86%|120|B.E.|2,90%|90|PAN|1,67%|52|L|1,54%|48|ADN|1,25%|39|PCP-PEV|1,25%|39|R.I.R.|0,64%|20|ND|0,23%|7|PCTP/MRPP|0,23%|7|MPT.A|0,10%|3|VP|0,10%|3|E|0,03%|1|EMBRANCO|2,16%|67|NULOS|0,68%|21
Aveiro|Arouca|Cabreiros e Albergaria da Serra|PS|40,82%|40|PPD/PSD.CDS-PP.PPM|31,63%|31|CH|13,27%|13|ADN|2,04%|2|B.E.|1,02%|1|E|1,02%|1|IL|1,02%|1|MPT.A|1,02%|1|PAN|1,02%|1|PCTP/MRPP|1,02%|1|R.I.R.|1,02%|1|L|0,00%|0|ND|0,00%|0|PCP-PEV|0,00%|0|VP|0,00%|0|EMBRANCO|2,04%|2|NULOS|3,06%|3
Aveiro|Arouca|Canelas e Espiunca|PPD/PSD.CDS-PP.PPM|48,01%|314|PS|19,27%|126|CH|18,96%|124|IL|2,45%|16|B.E.|2,29%|15|ADN|1,53%|10|PCP-PEV|1,38%|9|R.I.R.|1,22%|8|ND|0,61%|4|PAN|0,46%|3|PCTP/MRPP|0,46%|3|E|0,31%|2|L|0,31%|2|MPT.A|0,31%|2|VP|0,31%|2|EMBRANCO|1,68%|11|NULOS|0,46%|3
Aveiro|Arouca|Chave|PPD/PSD.CDS-PP.PPM|39,13%|331|PS|23,40%|198|CH|22,58%|191|IL|3,55%|30|B.E.|2,60%|22|L|1,42%|12|ADN|1,30%|11|PAN|1,06%|9|PCP-PEV|0,95%|8|R.I.R.|0,83%|7|ND|0,59%|5|PCTP/MRPP|0,12%|1|E|0,00%|0|MPT.A|0,00%|0|VP|0,00%|0|EMBRANCO|1,77%|15|NULOS|0,71%|6
