,Distrito/R.A.,Município,Freguesia,Inscritos,PS,PPD/PSD.CDS-PP.PPM,CH,IL,B.E.,PCP-PEV,L,PAN,ADN,PPD/PSD.CDS-PP,R.I.R.,JPP,PCTP/MRPP,ND,VP,E,MPT.A,PTP,NC,PPM,Brancos,Nulos,Votos,VP%,L%
1706,Portalegre,Campo Maior,Nossa Senhora da Graça dos Degolados,492,141,21,105,8,13,45,3,3,2,,1,,2,1,1,0,0,,,,4,5,355,0.28169014084507044,0.8450704225352113
1707,Portalegre,Campo Maior,São João Baptista,3256,792,260,589,43,76,229,38,10,23,,3,,15,4,1,2,0,,,,35,27,2147,0.04657661853749418,1.7699115044247788
1708,Portalegre,Castelo de Vide,Nossa Senhora da Graça de Póvoa e Meadas,444,128,64,67,1,12,10,4,3,4,,0,,3,2,1,0,1,,,,3,2,305,0.32786885245901637,1.3114754098360655
1709,Portalegre,Castelo de Vide,Santa Maria da Devesa,1269,308,273,137,16,33,31,19,9,8,,1,,5,1,2,1,2,,,,29,8,883,0.22650056625141562,2.1517553793884483
1710,Portalegre,Castelo de Vide,Santiago Maior,254,45,52,24,1,11,2,1,1,4,,0,,1,1,0,0,0,,,,5,2,150,0.0,0.6666666666666666
1711,Portalegre,Castelo de Vide,São João Baptista,673,174,135,84,3,22,12,2,3,12,,3,,3,0,1,0,0,,,,9,7,470,0.2127659574468085,0.425531914893617
1712,Portalegre,Crato,Aldeia da Mata,285,82,56,48,2,7,4,2,3,1,,1,,1,0,0,0,0,,,,0,1,208,0.0,0.9615384615384616
1713,Portalegre,Crato,"Crato e Mártires, Flor da Rosa e Vale do Peso",1779,450,317,263,18,56,79,20,5,15,,3,,4,0,3,2,3,,,,14,8,1260,0.23809523809523808,1.5873015873015872
1714,Portalegre,Crato,Gáfete,647,189,69,109,3,12,24,3,3,10,,2,,1,0,0,0,0,,,,1,1,427,0.0,0.702576112412178
1715,Portalegre,Crato,Monte da Pedra,202,55,32,36,0,2,14,5,0,2,,0,,1,0,0,0,0,,,,0,1,148,0.0,3.3783783783783785
1716,Portalegre,Elvas,"Assunção, Ajuda, Salvador e Santo Ildefonso",8101,1436,1214,1717,108,136,76,93,64,48,,14,,10,13,2,3,2,,,,76,60,5072,0.03943217665615142,1.833596214511041
1717,Portalegre,Elvas,Barbacena e Vila Fernando,674,139,79,165,7,8,24,7,0,2,,1,,4,1,3,1,0,,,,5,11,457,0.6564551422319475,1.5317286652078774
1718,Portalegre,Elvas,"Caia, São Pedro e Alcáçova",4807,806,334,1022,48,76,45,44,25,14,,6,,5,8,1,4,2,,,,30,31,2501,0.03998400639744103,1.7592962814874051
