,Distrito/R.A.,Município,Freguesia,Inscritos,PS,PPD/PSD.CDS-PP.PPM,CH,IL,B.E.,PCP-PEV,L,PAN,ADN,PPD/PSD.CDS-PP,R.I.R.,JPP,PCTP/MRPP,ND,VP,E,MPT.A,PTP,NC,PPM,Brancos,Nulos,Votos,VP%,L%
30,Aveiro,Arouca,Canelas e Espiunca,994,126,314,124,16,15,9,2,3,10,,8,,3,4,2,2,2,,,,11,3,654,0.3058103975535168,0.3058103975535168
31,Aveiro,Arouca,Chave,1160,198,331,191,30,22,8,12,9,11,,7,,1,5,0,0,0,,,,15,6,846,0.0,1.4184397163120568
32,Aveiro,Arouca,Covelo de Paivó e Janarde,171,25,55,11,2,2,2,4,3,2,,0,,0,0,0,0,0,,,,2,0,108,0.0,3.7037037037037037
33,Aveiro,Arouca,Escariz,1912,296,565,256,55,34,7,17,21,13,,7,,3,5,1,2,0,,,,23,20,1325,0.07547169811320754,1.2830188679245282
34,Aveiro,Arouca,Fermedo,1123,203,352,123,22,12,9,6,8,18,,2,,3,2,2,0,0,,,,8,6,776,0.25773195876288657,0.7731958762886598
35,Aveiro,Arouca,Mansores,978,123,372,119,32,3,4,8,5,18,,4,,4,5,2,0,0,,,,13,8,720,0.2777777777777778,1.1111111111111112
36,Aveiro,Arouca,Moldes,1107,209,317,75,24,22,6,7,5,16,,6,,3,2,3,1,0,,,,23,6,725,0.41379310344827586,0.9655172413793104
37,Aveiro,Arouca,Rossas,1356,202,445,176,24,18,13,7,11,20,,17,,3,2,2,0,0,,,,23,8,971,0.2059732234809475,0.7209062821833162
38,Aveiro,Arouca,Santa Eulália,2010,388,584,230,45,35,16,26,16,21,,10,,2,9,2,1,0,,,,25,10,1420,0.14084507042253522,1.8309859154929577
39,Aveiro,Arouca,São Miguel do Mato,609,91,203,54,8,3,4,2,5,7,,1,,1,1,0,0,0,,,,4,4,388,0.0,0.5154639175257731
40,Aveiro,Arouca,Tropeço,1029,148,298,165,21,16,3,14,6,16,,5,,2,2,0,3,0,,,,9,7,715,0.0,1.9580419580419581
41,Aveiro,Arouca,Urrô,875,129,329,82,15,22,4,12,7,14,,1,,0,0,0,0,1,,,,7,6,629,0.0,1.9077901430842608
42,Aveiro,Arouca,Várzea,447,86,151,63,10,7,0,8,2,3,,3,,2,2,0,1,0,,,,7,3,348,0.0,2.2988505747126435
43,Aveiro,Aveiro,Aradas,8415,1256,2160,881,416,283,62,188,90,61,,14,,11,12,8,1,3,,,,103,49,5598,0.1429081814933905,3.358342265094677
44,Aveiro,Aveiro,Cacia,6206,1196,1121,837,232,258,55,114,94,46,,11,,13,9,6,7,4,,,,97,40,4140,0.14492753623188406,2.753623188405797
45,Aveiro,Aveiro,Eixo e Eirol,5383,883,1074,793,173,170,47,98,63,38,,13,,8,9,3,3,2,,,,65,41,3483,0.08613264427217916,2.8136663795578523
46,Aveiro,Aveiro,Esgueira,11726,2231,2258,1378,497,466,143,271,153,70,,30,,19,12,12,8,0,,,,166,76,7790,0.1540436456996149,3.478818998716303
47,Aveiro,Aveiro,Glória e Vera Cruz,17738,3268,4535,1161,989,681,246,687,284,102,,14,,19,16,16,0,3,,,,197,90,12308,0.12999675008124797,5.581735456613584
48,Aveiro,Aveiro,Oliveirinha,4200,527,1081,595,130,95,18,72,26,42,,9,,8,8,3,1,0,,,,48,33,2696,0.11127596439169139,2.6706231454005933
49,Aveiro,Aveiro,"Requeixo, Nossa Senhora de Fátima e Nariz",4011,422,1136,621,89,91,17,45,40,55,,7,,12,12,2,4,1,,,,34,21,2609,0.07665772326561901,1.7247987734764278
50,Aveiro,Aveiro,Santa Joana,7152,1220,1709,859,283,222,57,138,103,59,,11,,9,6,9,6,1,,,,90,65,4847,0.18568186507117804,2.847121931091397
51,Aveiro,Aveiro,São Bernardo,4566,710,1315,504,227,162,37,127,72,44,,9,,5,7,3,3,0,,,,55,26,3306,0.09074410163339383,3.841500302480339
52,Aveiro,Aveiro,São Jacinto,824,188,117,82,5,14,14,7,5,7,,4,,3,1,0,0,0,,,,9,4,460,0.0,1.5217391304347827
53,Aveiro,Castelo de Paiva,Fornos,1095,302,272,67,21,16,8,4,8,5,,13,,2,1,1,0,0,,,,12,11,743,0.13458950201884254,0.5383580080753702
54,Aveiro,Castelo de Paiva,"Raiva, Pedorido e Paraíso",3865,970,676,421,74,94,37,41,35,40,,39,,8,8,5,2,1,,,,40,31,2522,0.19825535289452814,1.6256938937351308
55,Aveiro,Castelo de Paiva,Real,1065,246,247,109,13,19,1,11,6,6,,6,,1,2,0,1,0,,,,12,11,691,0.0,1.5918958031837915
56,Aveiro,Castelo de Paiva,Santa Maria de Sardoura,2032,491,539,163,36,20,3,12,20,15,,20,,4,4,0,1,1,,,,24,19,1372,0.0,0.8746355685131195
57,Aveiro,Castelo de Paiva,São Martinho de Sardoura,1617,330,544,160,31,24,6,14,15,20,,28,,1,3,1,1,1,,,,10,16,1205,0.08298755186721991,1.161825726141079
58,Aveiro,Castelo de Paiva,Sobrado e Bairros,4342,935,1200,417,88,79,24,42,28,22,,27,,4,8,1,0,2,,,,33,53,2963,0.03374957813027337,1.4174822814714816
59,Aveiro,Espinho,Anta e Guetim,10690,2446,2353,1043,356,313,193,150,156,115,,28,,37,14,15,16,3,,,,101,75,7414,0.2023199352576207,2.0231993525762073
60,Aveiro,Espinho,Espinho,9921,1891,2956,708,417,295,179,225,131,91,,19,,19,19,11,5,3,,,,101,76,7146,0.15393226980128744,3.1486146095717884
61,Aveiro,Espinho,Paramos,3018,724,521,261,94,74,56,29,39,21,,6,,6,4,3,3,2,,,,23,20,1886,0.15906680805938495,1.5376458112407212
62,Aveiro,Espinho,Silvalde,5697,1648,926,581,161,110,139,82,70,41,,16,,25,12,2,2,2,,,,51,42,3910,0.05115089514066496,2.0971867007672635
63,Aveiro,Estarreja,Avanca,5326,1016,1026,691,142,141,59,61,63,39,,8,,12,5,5,2,1,,,,57,41,3369,0.14841199168892846,1.8106262986049273
64,Aveiro,Estarreja,Beduído e Veiros,9112,1569,1774,1042,321,197,140,95,77,95,,17,,11,21,7,4,4,,,,104,62,5540,0.1263537906137184,1.7148014440433212
65,Aveiro,Estarreja,Canelas e Fermelã,2513,437,591,305,64,64,50,48,23,22,,13,,4,7,6,1,0,,,,31,19,1685,0.3560830860534125,2.8486646884273
66,Aveiro,Estarreja,Pardilhó,3757,495,594,451,82,73,59,21,26,30,,6,,7,5,1,0,0,,,,37,14,1901,0.052603892688058915,1.1046817464492373
67,Aveiro,Estarreja,Salreu,3310,523,796,380,101,78,29,29,24,31,,6,,3,6,4,2,0,,,,35,36,2083,0.19203072491598655,1.3922227556409026
68,Aveiro,Santa Maria da Feira,Argoncilhe,7500,1452,1819,849,333,208,71,115,97,70,,43,,17,11,13,8,2,,,,57,59,5224,0.24885145482388973,2.2013782542113325
69,Aveiro,Santa Maria da Feira,Arrifana,5650,1380,1106,535,169,143,42,79,75,42,,13,,10,8,2,3,3,,,,53,39,3702,0.05402485143165856,2.133981631550513
70,Aveiro,Santa Maria da Feira,Caldas de São Jorge e Pigeiros,3514,833,691,407,101,106,43,41,49,18,,15,,10,8,6,0,1,,,,39,24,2392,0.2508361204013378,1.714046822742475
71,Aveiro,Santa Maria da Feira,"Canedo, Vale e Vila Maior",8667,1354,1986,1060,265,205,48,116,85,67,,51,,24,19,10,7,1,,,,57,46,5401,0.18515089798185522,2.1477504165895205
72,Aveiro,Santa Maria da Feira,Escapães,3098,701,667,324,142,128,20,28,44,19,,8,,8,7,4,2,1,,,,27,21,2151,0.18596001859600186,1.301720130172013
73,Aveiro,Santa Maria da Feira,Fiães,6854,1524,1371,688,199,221,100,78,93,57,,17,,18,9,5,7,4,,,,66,55,4512,0.11081560283687943,1.7287234042553192
74,Aveiro,Santa Maria da Feira,Fornos,3032,646,686,366,132,93,27,55,48,25,,11,,6,5,1,3,1,,,,27,16,2148,0.04655493482309125,2.5605214152700184
75,Aveiro,Santa Maria da Feira,"Lobão, Gião, Louredo e Guisande",9455,1732,2092,1235,285,225,53,98,104,65,,43,,17,24,8,17,5,,,,62,59,6124,0.13063357282821686,1.6002612671456564
76,Aveiro,Santa Maria da Feira,Lourosa,7730,1725,1616,986,226,183,54,95,88,76,,30,,11,15,9,4,3,,,,65,62,5248,0.1714939024390244,1.8102134146341464
77,Aveiro,Santa Maria da Feira,Milheirós de Poiares,3250,828,647,375,129,86,19,42,38,24,,15,,11,1,6,2,2,,,,33,26,2284,0.2626970227670753,1.838879159369527
78,Aveiro,Santa Maria da Feira,Mozelos,6620,1476,1404,852,282,244,62,113,120,54,,31,,19,6,6,8,1,,,,55,40,4773,0.1257071024512885,2.3674837628326
79,Aveiro,Santa Maria da Feira,Nogueira da Regedoura,5229,1101,1213,633,208,161,71,82,71,55,,16,,11,8,4,2,4,,,,65,41,3746,0.10678056593699947,2.189001601708489
80,Aveiro,Santa Maria da Feira,Paços de Brandão,4345,916,1207,443,190,122,44,73,64,39,,15,,10,9,6,3,3,,,,51,34,3229,0.18581604211830288,2.2607618457726852
81,Aveiro,Santa Maria da Feira,Rio Meão,4473,994,1076,514,134,144,38,45,63,39,,6,,8,10,4,8,3,,,,45,33,3164,0.1264222503160556,1.4222503160556257
82,Aveiro,Santa Maria da Feira,Romariz,2806,542,629,308,64,55,16,27,34,35,,20,,2,9,4,1,1,,,,32,24,1803,0.2218524681087077,1.497504159733777
83,Aveiro,Santa Maria da Feira,Sanguedo,3165,613,711,354,135,87,21,34,46,43,,11,,14,6,4,2,2,,,,38,25,2146,0.1863932898415657,1.5843429636533084
84,Aveiro,Santa Maria da Feira,"Santa Maria da Feira, Travanca, Sanfins e Espargo",17609,3366,4567,1593,967,553,128,390,246,112,,54,,24,24,16,9,1,,,,223,120,12393,0.1291051399983862,3.146937787460663
85,Aveiro,Santa Maria da Feira,Santa Maria de Lamas,4407,1053,1063,494,172,127,30,54,71,45,,20,,9,5,3,4,0,,,,45,21,3216,0.09328358208955224,1.6791044776119404
86,Aveiro,Santa Maria da Feira,São João de Ver,9685,2132,1985,1206,319,323,84,157,132,92,,35,,23,9,11,9,2,,,,110,61,6690,0.16442451420029897,2.3467862481315396
87,Aveiro,Santa Maria da Feira,São Miguel de Souto e Mosteirô,6088,1429,1155,662,203,172,39,76,87,47,,25,,13,10,7,1,5,,,,59,68,4058,0.17249876786594381,1.8728437654016756
88,Aveiro,Santa Maria da Feira,São Paio de Oleiros,3473,848,691,426,108,136,103,47,39,26,,8,,20,5,4,3,2,,,,40,22,2528,0.15822784810126583,1.8591772151898733
89,Aveiro,Ílhavo,Gafanha da Encarnação,5169,560,1018,740,155,140,31,56,59,51,,15,,4,11,4,0,6,,,,65,39,2954,0.13540961408259986,1.8957345971563981
90,Aveiro,Ílhavo,Gafanha da Nazaré,14006,1873,2827,1905,550,413,102,260,201,131,,32,,17,16,17,10,8,,,,189,92,8643,0.19669096378572254,3.0082147402522272
91,Aveiro,Ílhavo,Gafanha do Carmo,1748,202,319,253,38,37,6,25,14,16,,1,,3,3,1,1,1,,,,28,11,959,0.10427528675703858,2.6068821689259645
92,Aveiro,Ílhavo,Ílhavo (São Salvador),15325,2507,3157,1727,596,510,108,353,210,102,,39,,24,15,5,4,7,,,,161,94,9619,0.051980455348788854,3.669820147624493
93,Aveiro,Mealhada,Barcouço,1875,405,295,202,50,66,26,34,14,10,,7,,2,2,0,1,0,,,,23,18,1155,0.0,2.9437229437229435
94,Aveiro,Mealhada,Casal Comba,2903,573,449,302,105,98,40,40,29,21,,8,,8,5,2,2,2,,,,38,16,1738,0.11507479861910241,2.3014959723820483
95,Aveiro,Mealhada,Luso,2180,527,329,221,56,93,38,24,29,13,,5,,4,5,3,0,1,,,,55,9,1412,0.21246458923512748,1.6997167138810199
96,Aveiro,Mealhada,"Mealhada, Ventosa do Bairro e Antes",5685,1122,1146,583,190,189,68,103,56,46,,11,,10,7,4,0,0,,,,81,40,3656,0.10940919037199125,2.8172866520787747
97,Aveiro,Mealhada,Pampilhosa,3480,791,503,383,102,157,75,68,39,20,,9,,12,5,2,2,1,,,,56,28,2253,0.0887705281846427,3.0181979582778515
98,Aveiro,Mealhada,Vacariça,1583,408,257,163,31,50,15,15,8,12,,5,,6,5,0,0,2,,,,29,7,1013,0.0,1.4807502467917077
99,Aveiro,Murtosa,Bunheiro,2418,258,593,289,46,38,16,23,20,27,,11,,7,5,3,1,0,,,,23,11,1371,0.2188183807439825,1.6776075857038657
100,Aveiro,Murtosa,Monte,1532,166,302,146,29,32,8,18,7,7,,3,,3,4,1,0,0,,,,19,5,750,0.13333333333333333,2.4
101,Aveiro,Murtosa,Murtosa,3175,258,675,309,67,51,18,22,20,27,,9,,3,4,0,0,3,,,,28,16,1510,0.0,1.4569536423841059
102,Aveiro,Murtosa,Torreira,2793,320,578,385,80,56,12,21,28,15,,6,,5,3,3,1,0,,,,25,21,1559,0.19243104554201412,1.3470173187940988
103,Aveiro,Oliveira de Azeméis,Carregosa,3074,586,844,392,109,71,18,48,22,28,,19,,6,5,3,6,1,,,,27,26,2211,0.13568521031207598,2.1709633649932156
104,Aveiro,Oliveira de Azeméis,Cesar,2809,559,668,375,107,71,21,42,40,39,,13,,6,7,3,1,1,,,,30,27,2010,0.14925373134328357,2.08955223880597
105,Aveiro,Oliveira de Azeméis,Fajões,2699,471,647,334,65,62,16,32,37,38,,11,,4,9,3,2,0,,,,22,24,1777,0.16882386043894204,1.8007878446820484
106,Aveiro,Oliveira de Azeméis,Loureiro,3301,497,927,467,88,68,10,47,39,32,,11,,8,5,3,1,2,,,,31,34,2270,0.13215859030837004,2.0704845814977975
107,Aveiro,Oliveira de Azeméis,Macieira de Sarnes,1657,489,318,154,62,34,21,19,25,16,,9,,3,3,6,0,0,,,,16,13,1188,0.5050505050505051,1.5993265993265993
108,Aveiro,Oliveira de Azeméis,Nogueira do Cravo e Pindelo,4683,1081,976,572,156,128,36,47,67,36,,14,,15,6,11,3,2,,,,47,45,3242,0.3392967304133251,1.4497223935842072
109,Aveiro,Oliveira de Azeméis,"O. Azeméis, Riba-Ul, Ul, Macinhata Seixa, Madail",18589,3649,4126,1953,698,551,108,265,227,168,,50,,30,22,24,20,6,,,,195,137,12229,0.19625480415406002,2.1669801292010793
110,Aveiro,Oliveira de Azeméis,Ossela,1782,350,432,224,45,42,4,20,17,17,,9,,3,4,2,3,1,,,,18,29,1220,0.16393442622950818,1.639344262295082
111,Aveiro,Oliveira de Azeméis,"Pinheiro da Bemposta, Travanca e Palmaz",6323,1125,1429,778,125,142,32,73,69,60,,15,,15,16,2,2,1,,,,61,41,3986,0.050175614651279475,1.831409934771701
112,Aveiro,Oliveira de Azeméis,São Martinho da Gândara,1739,375,409,183,55,31,14,21,22,17,,5,,0,3,3,0,1,,,,9,25,1173,0.2557544757033248,1.7902813299232736
113,Aveiro,Oliveira de Azeméis,São Roque,4537,1125,1073,490,165,119,26,47,58,44,,20,,7,7,10,2,2,,,,46,31,3272,0.3056234718826406,1.4364303178484108
114,Aveiro,Oliveira de Azeméis,Vila de Cucujães,9287,2405,1637,836,291,275,65,148,110,73,,25,,20,15,6,1,4,,,,90,80,6081,0.0986679822397632,2.4338102285808256
115,Aveiro,Oliveira do Bairro,"Bustos, Troviscal e Mamarrosa",5908,479,1907,793,150,86,34,45,44,78,,19,,9,11,2,2,1,,,,49,44,3753,0.05329070077271516,1.1990407673860912
116,Aveiro,Oliveira do Bairro,Oiã,6879,728,1975,1028,284,103,36,45,54,78,,14,,13,13,5,15,2,,,,88,34,4515,0.11074197120708748,0.9966777408637874
117,Aveiro,Oliveira do Bairro,Oliveira do Bairro,5699,617,1423,831,213,139,30,60,49,60,,13,,4,10,3,3,2,,,,67,52,3576,0.08389261744966443,1.6778523489932886
118,Aveiro,Oliveira do Bairro,Palhaça,2412,194,783,358,72,34,9,17,9,37,,8,,2,10,2,0,2,,,,20,15,1572,0.1272264631043257,1.0814249363867685
119,Aveiro,Ovar,Cortegaça,3403,800,743,296,138,132,37,54,55,31,,5,,8,2,6,1,2,,,,49,32,2391,0.25094102885821834,2.258469259723965
120,Aveiro,Ovar,Esmoriz,11034,2236,2594,1089,489,417,91,208,170,70,,36,,36,22,12,7,0,,,,110,89,7676,0.1563314226159458,2.709744658676394
121,Aveiro,Ovar,Maceda,3193,747,586,361,97,75,40,39,28,26,,6,,7,3,2,1,2,,,,43,24,2087,0.09583133684714902,1.868711068519406
122,Aveiro,Ovar,"Ovar, S.João, Arada e S.Vicente de Pereira Jusã",27090,5655,5004,2601,951,1139,441,497,378,168,,82,,63,36,38,20,8,,,,351,159,17591,0.21601955545449378,2.825308396339037
123,Aveiro,Ovar,Válega,6182,1259,1086,659,157,192,59,76,72,44,,24,,11,7,5,3,3,,,,63,35,3755,0.13315579227696406,2.0239680426098534
124,Aveiro,São João da Madeira,São João da Madeira,19533,4989,3911,1726,737,596,236,356,217,119,,29,,41,33,20,4,3,,,,184,141,13342,0.149902563333833,2.6682656273422274
125,Aveiro,Sever do Vouga,Cedrim e Paradela,1276,129,449,228,20,19,8,10,6,18,,4,,1,3,2,0,0,,,,14,7,918,0.2178649237472767,1.0893246187363834
126,Aveiro,Sever do Vouga,Couto de Esteves,708,87,271,75,12,10,1,4,4,11,,1,,1,2,1,0,0,,,,3,5,488,0.20491803278688525,0.819672131147541
127,Aveiro,Sever do Vouga,Pessegueiro do Vouga,1592,176,551,216,48,37,17,25,11,15,,3,,2,4,1,0,0,,,,9,9,1124,0.08896797153024912,2.224199288256228
128,Aveiro,Sever do Vouga,Rocas do Vouga,1454,223,409,171,27,22,7,14,7,11,,4,,2,1,0,1,1,,,,7,13,920,0.0,1.5217391304347827
129,Aveiro,Sever do Vouga,Sever do Vouga,2336,289,776,307,82,56,13,48,16,27,,4,,2,2,0,2,1,,,,40,11,1676,0.0,2.863961813842482
130,Aveiro,Sever do Vouga,Silva Escura e Dornelas,1877,281,560,235,42,27,16,26,21,21,,7,,3,5,0,0,0,,,,23,15,1282,0.0,2.0280811232449296
131,Aveiro,Sever do Vouga,Talhadas,1064,180,366,164,20,8,6,7,6,5,,2,,1,4,1,2,0,,,,14,6,792,0.12626262626262627,0.8838383838383839
132,Aveiro,Vagos,Calvão,2050,128,702,262,62,27,9,16,21,34,,6,,2,5,2,1,0,,,,22,9,1308,0.1529051987767584,1.2232415902140672
133,Aveiro,Vagos,Fonte de Angeão e Covão do Lobo,2123,99,748,314,36,27,7,15,7,30,,6,,3,4,2,2,3,,,,16,10,1329,0.1504890895410083,1.1286681715575622
134,Aveiro,Vagos,Gafanha da Boa Hora,3177,225,637,322,63,41,20,32,33,29,,1,,3,7,1,0,0,,,,18,17,1449,0.06901311249137336,2.2084195997239475
135,Aveiro,Vagos,Ouca,1631,106,551,215,48,18,6,12,10,21,,1,,1,3,1,0,1,,,,8,12,1014,0.09861932938856016,1.183431952662722
136,Aveiro,Vagos,Ponte de Vagos e Santa Catarina,2806,165,917,424,67,31,8,20,21,43,,4,,3,9,4,0,0,,,,29,22,1767,0.22637238256932654,1.1318619128466327
137,Aveiro,Vagos,Santo André de Vagos,1977,96,650,284,27,25,8,12,7,28,,5,,3,1,2,0,1,,,,10,18,1177,0.16992353440951571,1.0195412064570943
138,Aveiro,Vagos,Sosa,2689,272,710,419,63,26,6,26,19,35,,3,,4,1,3,0,1,,,,15,18,1621,0.1850709438618137,1.6039481801357187
139,Aveiro,Vagos,Vagos e Santo António,5885,659,1726,747,219,129,31,102,65,65,,6,,5,20,5,3,0,,,,58,35,3875,0.12903225806451613,2.632258064516129
140,Aveiro,Vale de Cambra,Arões,1210,129,361,136,19,13,2,6,5,5,,5,,5,1,1,1,2,,,,11,16,718,0.1392757660167131,0.8356545961002786
141,Aveiro,Vale de Cambra,Cepelos,1220,156,386,116,30,27,2,6,8,14,,4,,1,3,0,1,0,,,,5,16,775,0.0,0.7741935483870968
142,Aveiro,Vale de Cambra,Junqueira,855,86,332,110,23,7,3,6,2,13,,4,,1,6,0,0,0,,,,10,6,609,0.0,0.9852216748768473
143,Aveiro,Vale de Cambra,Macieira de Cambra,4053,824,911,489,148,97,26,34,47,37,,16,,4,2,6,2,0,,,,28,57,2728,0.21994134897360704,1.2463343108504399
144,Aveiro,Vale de Cambra,Roge,1524,290,384,190,51,30,5,14,12,18,,6,,3,6,1,1,1,,,,5,13,1030,0.0970873786407767,1.3592233009708738
145,Aveiro,Vale de Cambra,São Pedro de Castelões,6243,1000,1754,735,240,142,31,85,69,71,,28,,9,18,4,3,1,,,,53,59,4302,0.09298000929800093,1.9758251975825198
146,Aveiro,Vale de Cambra,"Vila Chã, Codal e Vila Cova de Perrinho",4782,854,1278,564,171,139,35,59,66,50,,21,,7,12,3,0,2,,,,44,50,3355,0.08941877794336811,1.758569299552906
147,Beja,Aljustrel,Aljustrel e Rio de Moinhos,5078,1091,323,661,60,174,828,37,37,19,,3,,32,6,3,2,,,,,46,39,3361,0.08925914906277893,1.1008628384409402
148,Beja,Aljustrel,Ervidel,772,182,32,117,2,25,129,9,11,2,,0,,9,0,0,0,,,,,7,11,536,0.0,1.6791044776119404
149,Beja,Aljustrel,Messejana,721,177,36,123,3,17,85,11,4,7,,2,,8,2,3,1,,,,,4,12,495,0.6060606060606061,2.2222222222222223
150,Beja,Aljustrel,São João de Negrilhos,1190,337,54,191,10,26,135,9,6,5,,0,,12,1,5,0,,,,,9,11,811,0.6165228113440198,1.1097410604192355
151,Beja,Almodôvar,Aldeia dos Fernandes,500,133,60,74,9,14,26,6,5,6,,2,,2,3,1,2,,,,,1,9,353,0.28328611898017,1.6997167138810199
152,Beja,Almodôvar,Almodôvar e Graça dos Padrões,3397,716,575,548,50,94,115,31,30,35,,11,,11,4,1,2,,,,,25,38,2286,0.04374453193350831,1.3560804899387577
153,Beja,Almodôvar,Rosário,549,115,42,101,4,12,30,6,1,7,,1,,4,0,0,1,,,,,5,6,335,0.0,1.791044776119403
154,Beja,Almodôvar,Santa Clara-a-Nova e Gomes Aires,716,154,96,98,8,9,20,2,2,9,,5,,4,0,3,1,,,,,5,11,427,0.702576112412178,0.468384074941452
155,Beja,Almodôvar,Santa Cruz,478,136,57,44,1,10,17,7,2,4,,1,,4,3,1,2,,,,,4,3,296,0.33783783783783783,2.364864864864865
156,Beja,Almodôvar,São Barnabé,342,83,50,27,4,1,5,1,3,7,,1,,0,1,0,1,,,,,2,1,187,0.0,0.5347593582887701
157,Beja,Alvito,Alvito,936,153,127,152,7,54,95,6,8,6,,4,,8,0,0,0,,,,,8,4,632,0.0,0.9493670886075949
158,Beja,Alvito,Vila Nova da Baronia,914,199,85,154,5,30,66,13,9,5,,3,,7,0,1,1,,,,,11,12,601,0.16638935108153077,2.1630615640599
159,Beja,Barrancos,Barrancos,1262,236,123,176,16,23,143,6,5,8,,1,,2,0,1,1,,,,,21,11,773,0.129366106080207,0.7761966364812419
160,Beja,Beja,Albernoa e Trindade,745,131,54,86,13,19,92,9,11,6,,0,,4,1,0,0,,,,,6,7,439,0.0,2.050113895216401
161,Beja,Beja,Baleizão,725,147,24,108,5,38,135,2,3,1,,1,,4,0,1,0,,,,,1,5,475,0.21052631578947367,0.42105263157894735
162,Beja,Beja,Beja (Salvador e Santa Maria da Feira),8880,1642,1196,1267,171,264,735,123,86,55,,9,,20,4,8,6,,,,,86,65,5737,0.13944570332926617,2.1439776886874675
163,Beja,Beja,Beja (Santiago Maior e São João Baptista),11351,2069,2021,1546,238,346,997,152,104,64,,15,,32,2,11,6,,,,,107,72,7782,0.14135183757388847,1.953225391930095
164,Beja,Beja,Beringel,1080,223,121,141,10,19,113,8,7,7,,0,,1,1,0,1,,,,,11,12,675,0.0,1.1851851851851851
165,Beja,Beja,Cabeça Gorda,1112,240,54,130,7,22,129,4,9,8,,1,,12,0,0,0,,,,,3,13,632,0.0,0.6329113924050633
166,Beja,Beja,Nossa Senhora das Neves,1303,277,74,201,14,27,167,12,13,13,,1,,11,1,3,1,,,,,14,8,837,0.35842293906810035,1.4336917562724014
167,Beja,Beja,Salvada e Quintos,1056,256,62,126,10,22,169,10,7,2,,2,,9,0,1,0,,,,,15,6,697,0.14347202295552366,1.4347202295552368
168,Beja,Beja,Santa Clara de Louredo,523,128,40,61,7,13,102,5,1,4,,0,,4,1,0,1,,,,,6,4,377,0.0,1.3262599469496021
169,Beja,Beja,Santa Vitória e Mombeja,726,161,37,105,3,27,103,6,5,1,,1,,7,1,2,0,,,,,8,7,474,0.4219409282700422,1.2658227848101267
170,Beja,Beja,São Matias,425,106,31,89,8,12,26,6,3,1,,0,,3,0,1,0,,,,,3,3,292,0.3424657534246575,2.0547945205479454
171,Beja,Beja,Trigaches e São Brissos,466,91,35,86,4,9,43,1,2,2,,1,,2,1,0,1,,,,,3,3,284,0.0,0.352112676056338
172,Beja,Castro Verde,Castro Verde e Casével,4495,950,452,550,111,231,462,84,56,26,,6,,21,8,2,3,,,,,39,27,3028,0.06605019815059446,2.774108322324967
173,Beja,Castro Verde,Entradas,533,101,41,67,5,8,76,6,2,4,,1,,9,0,0,0,,,,,8,4,332,0.0,1.8072289156626506
174,Beja,Castro Verde,Santa Bárbara de Padrões,731,165,31,109,9,26,112,3,4,6,,2,,5,1,1,1,,,,,3,7,485,0.20618556701030927,0.6185567010309279
175,Beja,Castro Verde,São Marcos da Ataboeira,270,76,18,23,1,3,38,4,0,1,,1,,0,1,0,0,,,,,4,2,172,0.0,2.3255813953488373
176,Beja,Cuba,Cuba,2527,526,282,355,32,48,321,32,14,20,,0,,9,1,3,0,,,,,24,16,1683,0.17825311942959002,1.9013666072489601
177,Beja,Cuba,Faro do Alentejo,444,98,25,68,1,8,83,4,1,1,,0,,5,0,0,0,,,,,0,5,299,0.0,1.3377926421404682
178,Beja,Cuba,Vila Alva,318,99,25,25,2,10,42,2,2,2,,0,,3,1,0,0,,,,,4,5,222,0.0,0.9009009009009009
179,Beja,Cuba,Vila Ruiva,357,77,18,53,7,11,41,3,3,1,,0,,1,0,2,0,,,,,7,5,229,0.8733624454148472,1.3100436681222707
180,Beja,Ferreira do Alentejo,Alfundão e Peroguarda,960,241,59,148,10,41,46,11,6,3,,2,,6,3,0,0,,,,,2,8,586,0.0,1.8771331058020477
181,Beja,Ferreira do Alentejo,Ferreira do Alentejo e Canhestros,3822,716,383,516,57,122,342,48,26,42,,11,,24,4,3,1,,,,,26,11,2332,0.12864493996569468,2.058319039451115
182,Beja,Ferreira do Alentejo,Figueira dos Cavaleiros,1022,301,56,148,15,27,102,12,6,4,,1,,12,0,2,1,,,,,9,8,704,0.2840909090909091,1.7045454545454546
183,Beja,Ferreira do Alentejo,Odivelas,391,115,27,40,3,7,25,5,2,2,,1,,1,1,0,1,,,,,3,5,238,0.0,2.100840336134454
184,Beja,Mértola,Alcaria Ruiva,599,125,58,52,11,12,86,2,5,6,,0,,4,0,2,0,,,,,6,1,370,0.5405405405405406,0.5405405405405406
185,Beja,Mértola,Corte do Pinto,701,176,39,99,7,18,67,5,5,3,,2,,1,0,0,1,,,,,5,2,430,0.0,1.1627906976744187
186,Beja,Mértola,Espírito Santo,266,72,22,28,1,9,29,0,2,0,,0,,3,1,1,0,,,,,1,2,171,0.5847953216374269,0.0
187,Beja,Mértola,Mértola,2191,539,240,193,20,81,319,19,16,16,,1,,10,2,1,0,,,,,38,29,1524,0.06561679790026247,1.246719160104987
188,Beja,Mértola,"S.Mig. Pinheiro, S.Pedro Solis, S.Sebastião Carros",755,209,58,53,3,11,97,8,1,4,,0,,4,1,0,0,,,,,8,5,462,0.0,1.7316017316017316
189,Beja,Mértola,Santana de Cambas,636,131,56,71,2,10,79,4,9,9,,0,,3,0,0,1,,,,,12,7,394,0.0,1.015228426395939
